x0, freq, imag_part, real_part
-8, 2, -3.423084588357100166433610866079, 21.547137052494001352442865027115
-8, 4, -4.910465596290600309714591276133, 20.051882875271001438477469491772
-8, 6, -6.036745437161799898717617907096, 18.776100668390999004486729972996
-8, 8, -6.926904433861399645877554576145, 17.591650118210001352281324216165
-8, 10, -7.629527142895399904887199227232, 16.467125508902000774469343014061
-7, 1, -2.397182623983200144834881939460, 22.538471224660000302719708997756
-7, 2, -3.422936772539900029954651472508, 21.545510175402998953586575225927
-7, 4, -4.910079248090100101364896545419, 20.050532752395000102296762634069
-7, 6, -6.036315628683699863188394374447, 18.774879394711000202278228243813
-7, 8, -6.926428206746500393364840419963, 17.590502242761999696085695177317
-7, 10, -7.628999847600899997246415296104, 16.466044502151000017420301446691
-6, 1, -2.398055428759399809734986774856, 22.539697115382001157968261395581
-6, 2, -3.423450245993099994024078114307, 21.546280410697999485591935808770
-6, 4, -4.910248599710399730611243285239, 20.051340165464001330519749899395
-6, 6, -6.036509229702500256564690062078, 18.775780637943999096250990987755
-6, 8, -6.926706563544399841703125275671, 17.591405927537998366005922434852
-6, 10, -7.629348071071100356732586078579, 16.466909038419000665953717543744
-5, 1, -2.399502126941300161888648290187, 22.539897541801998670507600763813
-5, 2, -3.424488373426600062998659268487, 21.545445116686000375239018467255
-5, 4, -4.910331572227700114297022082610, 20.050231968481000421888893470168
-5, 6, -6.036232628135300259941686817911, 18.774934468714000956879317527637
-5, 8, -6.926355467089799766711166739697, 17.590777595586999382248905021697
-5, 10, -7.629007917111199965631840314018, 16.466407611739001026762707624584
-4, 1, -2.402339699836599784532609191956, 22.543384798409999092427824507467
-4, 2, -3.427412989113999941537258564495, 21.546969305093000457418384030461
-4, 4, -4.912074341223499729380819189828, 20.050094616260000890406445250846
-4, 6, -6.037011352413600207000854425132, 18.774571990578998281762324040756
-4, 8, -6.926638890065600406842349912040, 17.590591667786000584783323574811
-4, 10, -7.629094651918600256124136649305, 16.466442232523998967508305213414
-3, 1, -2.406576773317699924348289641785, 22.551018108842001197444915305823
-3, 2, -3.432988531316099933832219903707, 21.551706101499998879944541840814
-3, 4, -4.917229557876999557208819169318, 20.050945698406998474183637881652
-3, 6, -6.040734899124799994751811027527, 18.773598438962000756191628170200
-3, 8, -6.929029619833399600281609309604, 17.588943427366000804568102466874
-3, 10, -7.630480805436100411043298663571, 16.464691758265999510513211134821
-2, 1, -2.411198662027699946008851838997, 22.566896669217999971124299918301
-2, 2, -3.440433381129300194345432828413, 21.564977961497000080726138548926
