epoch,total_loss,data_loss,physics_loss
8250,8.028490e-01,8.194290e-05,8.027670e-01
8300,7.958369e-01,1.017868e-04,7.957351e-01
8350,7.928182e-01,8.150833e-05,7.927367e-01
8400,7.842981e-01,1.089205e-04,7.841892e-01
8450,7.784014e-01,9.297099e-05,7.783084e-01
8500,7.681456e-01,9.468353e-04,7.671987e-01
8550,7.648293e-01,8.353437e-05,7.647458e-01
8600,7.519943e-01,8.310186e-05,7.519112e-01
8650,7.486085e-01,8.282068e-05,7.485257e-01
8700,7.379456e-01,8.271912e-05,7.378629e-01
8750,7.344735e-01,8.413007e-05,7.343894e-01
8800,7.336185e-01,8.374196e-05,7.335348e-01
8850,7.180232e-01,8.316583e-05,7.179401e-01
8900,7.109820e-01,8.343757e-05,7.108985e-01
8950,7.059285e-01,8.428423e-05,7.058442e-01
9000,7.025332e-01,8.249843e-05,7.024507e-01
9050,6.965457e-01,8.212299e-05,6.964635e-01
9100,6.926165e-01,8.409411e-05,6.925324e-01
9150,6.850428e-01,8.250216e-05,6.849603e-01
9200,6.790044e-01,8.261876e-05,6.789218e-01
9250,6.704463e-01,8.330203e-05,6.703629e-01
9300,6.647612e-01,1.247060e-04,6.646366e-01
9350,6.618501e-01,8.335614e-05,6.617668e-01
9400,6.533284e-01,8.295147e-05,6.532454e-01
9450,6.499118e-01,8.424566e-05,6.498275e-01
9500,6.416485e-01,8.207031e-05,6.415665e-01
9550,6.392725e-01,8.156977e-05,6.391909e-01
9600,6.323359e-01,8.215104e-05,6.322538e-01
9650,6.268631e-01,8.129980e-05,6.267818e-01
9700,6.206384e-01,8.120896e-05,6.205572e-01
9750,6.136312e-01,8.370895e-05,6.135475e-01
9800,6.092129e-01,2.012877e-04,6.090116e-01
9850,6.103475e-01,8.267301e-05,6.102648e-01
9900,5.962116e-01,8.496466e-05,5.961267e-01
9950,5.966799e-01,8.489797e-05,5.965950e-01
10000,5.883448e-01,8.357238e-05,5.882612e-01
10050,5.830548e-01,8.099585e-05,5.829738e-01
10100,5.836194e-01,8.959731e-05,5.835298e-01
10150,5.719978e-01,1.959891e-04,5.718018e-01
10200,5.690089e-01,8.219967e-05,5.689267e-01
10250,5.640777e-01,8.160924e-05,5.639961e-01
10300,5.573769e-01,8.262978e-05,5.572942e-01
10350,5.527248e-01,8.287589e-05,5.526420e-01
10400,5.502850e-01,8.629150e-05,5.501987e-01
10450,5.433214e-01,8.124595e-05,5.432401e-01
10500,5.433093e-01,1.228087e-04,5.431865e-01
10550,5.380211e-01,8.274912e-05,5.379384e-01
10600,5.330083e-01,8.293821e-05,5.329254e-01
10650,5.306264e-01,9.407056e-05,5.305324e-01
10700,5.226166e-01,8.200840e-05,5.225345e-01
10750,5.251001e-01,8.221595e-05,5.250179e-01
